combined_id,date,detection_source,confidence,combined_class,soft_hard_delay_sec,slx_flare_id,slx_peak_utc,slx_start_utc,slx_end_utc,slx_peak_counts,slx_bg,slx_duration_sec,slx_class,slx_intensity_ratio,slx_rise_time_sec,slx_decay_time_sec,hel_flare_id,hel_peak_utc,hel_start_utc,hel_end_utc,hel_peak_ctr,hel_bg,hel_duration_sec,hel_class,hel_intensity_ratio,hel_rise_time_sec,hel_decay_time_sec,hel_detector,hel_energy_band
CMB_20260605_001,2026-06-05,SoLEXS+HEL1OS,HIGH,X,75.246,SLX_20260605_001,2026-06-05 15:01:53.000,2026-06-05 14:56:07.000,2026-06-05 15:04:59.000,183.0,32.69999999999999,533.0,C,5.596330275229359,346.0,186.0,HEL_20260605_001,2026-06-05 15:00:37.754,2026-06-05 00:00:07.761,2026-06-05 23:59:41.055,182.0,1e-06,129529.0,X,182000000.0,64842.0,64687.0,CdTe,
CMB_20260606_001,2026-06-06,SoLEXS_only,MEDIUM,C,,SLX_20260606_001,2026-06-06 04:04:44.000,2026-06-06 03:57:57.000,2026-06-06 04:05:21.000,77.0,14.0,445.0,C,5.5,407.0,38.0,,,,,,,,,,,,,
CMB_20260606_002,2026-06-06,SoLEXS_only,MEDIUM,C,,SLX_20260606_002,2026-06-06 06:29:02.000,2026-06-06 06:28:11.000,2026-06-06 06:37:57.000,110.0,11.0,587.0,C,10.0,51.0,535.0,,,,,,,,,,,,,
CMB_20260606_003,2026-06-06,SoLEXS_only,MEDIUM,C,,SLX_20260606_003,2026-06-06 13:17:39.000,2026-06-06 13:13:27.000,2026-06-06 13:24:41.000,458.0,31.0,675.0,C,14.774193548387096,252.0,422.0,,,,,,,,,,,,,
CMB_20260606_004,2026-06-06,HEL1OS_only,MEDIUM,X,,,,,,,,,,,,,HEL_20260606_001,2026-06-06 13:22:49.752,2026-06-06 00:03:40.727,2026-06-06 23:59:44.752,707.0,1e-06,129103.0,X,707000000.0,90888.0,38215.0,CdTe,
CMB_20260606_005,2026-06-06,SoLEXS_only,MEDIUM,B,,SLX_20260606_004,2026-06-06 13:54:50.000,2026-06-06 13:47:07.000,2026-06-06 13:54:59.000,828.0,274.7,473.0,B,3.014197306152166,463.0,9.0,,,,,,,,,,,,,
CMB_20260607_001,2026-06-07,SoLEXS_only,MEDIUM,C,,SLX_20260607_001,2026-06-07 01:51:54.000,2026-06-07 01:51:09.000,2026-06-07 01:57:32.000,58.0,11.0,384.0,C,5.2727272727272725,45.0,339.0,,,,,,,,,,,,,
CMB_20260607_002,2026-06-07,SoLEXS+HEL1OS,HIGH,X,34.261,SLX_20260607_002,2026-06-07 04:19:47.000,2026-06-07 04:16:04.000,2026-06-07 04:24:59.000,119.0,9.0,536.0,C,13.222222222222221,223.0,312.0,HEL_20260607_001,2026-06-07 04:19:12.739,2026-06-07 00:00:08.739,2026-06-07 23:59:44.770,265.0,1e-06,86353.0,X,265000000.0,15544.0,70809.0,CdTe,
CMB_20260607_003,2026-06-07,SoLEXS_only,MEDIUM,B,,SLX_20260607_003,2026-06-07 08:25:04.000,2026-06-07 08:24:29.000,2026-06-07 08:30:55.000,87.0,25.0,387.0,B,3.48,35.0,351.0,,,,,,,,,,,,,
CMB_20260607_004,2026-06-07,SoLEXS_only,MEDIUM,B,,SLX_20260607_004,2026-06-07 09:28:14.000,2026-06-07 09:24:19.000,2026-06-07 09:30:42.000,48.0,11.0,384.0,B,4.363636363636363,235.0,148.0,,,,,,,,,,,,,
CMB_20260607_005,2026-06-07,SoLEXS_only,MEDIUM,C,,SLX_20260607_005,2026-06-07 13:30:50.000,2026-06-07 13:28:23.000,2026-06-07 13:34:59.000,46.0,9.0,397.0,C,5.111111111111111,147.0,250.0,,,,,,,,,,,,,
CMB_20260608_001,2026-06-08,SoLEXS_only,MEDIUM,B,,SLX_20260608_001,2026-06-08 02:26:59.000,2026-06-08 02:23:16.000,2026-06-08 02:29:59.000,115.0,34.0,404.0,B,3.3823529411764706,223.0,180.0,,,,,,,,,,,,,
CMB_20260608_002,2026-06-08,SoLEXS+HEL1OS,HIGH,X,101.109,SLX_20260608_002,2026-06-08 02:49:54.000,2026-06-08 02:47:46.000,2026-06-08 02:54:21.000,362.0,91.0,396.0,B,3.978021978021978,128.0,267.0,HEL_20260608_001,2026-06-08 02:48:12.891,2026-06-08 00:28:57.464,2026-06-08 11:59:39.891,310.0,1e-06,82877.0,X,310000000.0,16711.0,66166.0,CdTe,
CMB_20260608_003,2026-06-08,SoLEXS_only,MEDIUM,C,,SLX_20260608_003,2026-06-08 05:10:14.000,2026-06-08 05:07:05.000,2026-06-08 05:17:29.000,225.0,20.0,625.0,C,11.25,189.0,435.0,,,,,,,,,,,,,
CMB_20260609_001,2026-06-09,HEL1OS_only,MEDIUM,X,,,,,,,,,,,,,HEL_20260609_001,2026-06-09 04:22:33.771,2026-06-09 00:00:12.771,2026-06-09 11:59:41.771,608.0,1e-06,43169.0,X,608000000.0,15741.0,27428.0,CdTe,
CMB_20260610_001,2026-06-10,SoLEXS+HEL1OS,HIGH,X,15.289,SLX_20260610_001,2026-06-10 00:59:24.000,2026-06-10 00:57:54.000,2026-06-10 01:03:56.000,98.0,5.0,363.0,C,19.6,90.0,273.0,HEL_20260610_001,2026-06-10 00:59:08.711,2026-06-10 00:00:12.711,2026-06-10 23:59:53.046,350.0,1e-06,128287.0,X,350000000.0,3536.0,124751.0,CdTe,
